Time;airHumidity;airPressure;airTemperature;currDir04;currDir07;currDir10;currDir13;currDir16;currDir19;currDir22;currDir25;currDir28;currDir31;currDir34;currDir37;currDir40;currDir43;currDir46;currDir49;currDir52;currDir55;currDir58;currDir61;currSpeed04;currSpeed07;currSpeed10;currSpeed13;currSpeed16;currSpeed19;currSpeed22;currSpeed25;currSpeed28;currSpeed31;currSpeed34;currSpeed37;currSpeed40;currSpeed43;currSpeed46;currSpeed49;currSpeed52;currSpeed55;currSpeed58;currSpeed61;hm0;hm0a;hm0b;hmax;latitude;longitude;mdir;mdira;mdirb;O2consentration_ox;salinity1m;sprtp;temperature1m;thhf;thmax;thtp;tm01;tm02;tm02a;tm02b;tp;WindDir;WindGust;WindSpeed
17.01.2020 08:00:00;67.0313;1001.07422;6.9141;225.0000;336.0938;317.8125;309.3750;326.2500;316.4063;330.4688;329.0625;317.8125;330.4688;331.8750;350.1563;319.2188;327.6563;310.7813;312.1875;330.4688;305.1563;333.2813;319.2188;17.5781;158.2031;123.0469;151.1719;146.4844;150.0000;135.9375;133.5938;126.5625;180.4688;127.7344;153.5156;131.2500;135.9375;171.0938;150.0000;128.9063;152.3438;139.4531;130.0781;0.2734;0.0391;0.2734;0.5078;64.157166;10.002228;222.8906;161.7188;223.5938;11.14746;25.00000;42.1875;6.61621;248.2031;5.9570;217.9688;4.3945;4.1992;11.4063;4.1406;3.6133;343.82813;6.28906;0.61523
17.01.2020 09:00:00;72.1875;1001.26953;6.3672;151.8750;265.7813;261.5625;260.1563;271.4063;277.0313;265.7813;261.5625;268.5938;262.9688;267.1875;272.8125;274.2188;260.1563;268.5938;272.8125;253.1250;270.0000;264.3750;262.9688;22.2656;199.2188;235.5469;214.4531;213.2813;242.5781;236.7188;241.4063;196.8750;215.6250;217.9688;240.2344;249.6094;244.9219;208.5938;191.0156;247.2656;209.7656;235.5469;230.8594;0.1953;0.0391;0.1953;0.0000;64.156799;10.007172;191.2500;220.7813;189.1406;11.17676;25.00000;47.8125;6.64063;299.5313;0.0000;209.5313;6.0547;5.6641;12.2266;5.5469;9.5703;307.96875;6.69922;5.12695
17.01.2020 10:00:00;70.3125;1001.46484;6.6406;5.6250;19.6875;37.9688;57.6563;75.9375;84.3750;74.5313;135.0000;157.5000;180.0000;201.0938;220.7813;215.1563;223.5938;225.0000;217.9688;205.3125;208.1250;195.4688;222.1875;11.7188;12.8906;12.8906;9.3750;10.5469;5.8594;4.6875;4.6875;5.8594;7.0313;9.3750;9.3750;10.5469;12.8906;11.7188;10.5469;9.3750;11.7188;11.7188;11.7188;0.8594;0.7422;0.4297;3.0859;64.156067;10.003235;61.1719;66.0938;96.3281;10.94238;32.99805;75.2344;6.20117;92.1094;11.3281;47.1094;9.7656;8.6914;12.1094;5.5469;11.4258;168.39844;6.56250;4.58008
17.01.2020 11:00:00;72.1875;1001.56250;7.1875;350.1563;4.2188;21.0938;42.1875;54.8438;71.7188;106.8750;85.7813;150.4688;315.0000;246.0938;232.0313;236.2500;240.4688;247.5000;206.7188;192.6563;180.0000;222.1875;279.8438;11.7188;15.2344;15.2344;12.8906;12.8906;8.2031;3.5156;2.3438;1.1719;0.0000;4.6875;7.0313;4.6875;4.6875;3.5156;2.3438;2.3438;3.5156;2.3438;2.3438;0.2734;0.1172;0.2734;0.3516;64.156067;10.003235;71.7188;63.2813;71.0156;10.94238;32.93945;77.3438;6.17676;83.6719;9.3750;39.3750;4.8828;4.2969;16.3281;3.8281;23.2422;138.86719;4.92188;3.75977
17.01.2020 12:00:00;72.1875;1001.66016;7.4609;355.7813;9.8438;16.8750;37.9688;40.7813;54.8438;56.2500;64.6875;39.3750;278.4375;215.1563;208.1250;232.0313;270.0000;49.2188;2.8125;348.7500;298.1250;23.9063;35.1563;15.2344;16.4063;11.7188;14.0625;15.2344;15.2344;12.8906;8.2031;4.6875;1.1719;4.6875;2.3438;2.3438;2.3438;1.1719;2.3438;2.3438;2.3438;4.6875;8.2031;0.3125;0.0781;0.2734;0.4688;64.156067;10.003326;13.3594;342.4219;16.1719;10.94238;32.98340;59.7656;6.17676;17.5781;9.2773;7.0313;4.6875;4.1016;15.0391;3.9063;9.5703;108.98438;3.82813;2.93945
17.01.2020 13:00:00;75.9375;1001.66016;7.7344;4.2188;7.0313;12.6563;29.5313;52.0313;60.4688;66.0938;56.2500;43.5938;7.0313;90.0000;75.9375;64.6875;84.3750;70.3125;0.0000;53.4375;70.3125;37.9688;42.1875;10.5469;12.8906;10.5469;12.8906;12.8906;15.2344;11.7188;11.7188;7.0313;3.5156;1.1719;2.3438;3.5156;3.5156;3.5156;0.0000;2.3438;3.5156;2.3438;4.6875;0.3516;0.1172;0.3516;0.5078;64.156067;10.003418;352.9688;356.4844;351.5625;10.91309;33.02734;54.8438;6.20117;355.7813;16.6992;331.1719;4.8828;4.3945;13.5156;4.1406;9.6680;136.40625;3.96484;2.87109
17.01.2020 14:00:00;70.3125;1001.36719;7.4609;9.8438;14.0625;11.2500;32.3438;42.1875;61.8750;70.3125;52.0313;57.6563;45.0000;14.0625;16.8750;67.5000;75.9375;64.6875;78.7500;105.4688;118.1250;130.7813;298.1250;14.0625;9.3750;10.5469;10.5469;10.5469;10.5469;10.5469;8.2031;8.2031;8.2031;4.6875;1.1719;2.3438;4.6875;5.8594;4.6875;3.5156;2.3438;2.3438;2.3438;0.5859;0.4688;0.3516;0.8594;64.156067;10.002869;331.1719;305.8594;92.1094;10.92773;32.98340;71.7188;6.17676;104.0625;21.1914;302.3438;9.3750;6.8359;21.2500;4.3750;23.8281;157.14844;8.06641;6.42578
17.01.2020 15:00:00;67.9688;1001.36719;7.4609;345.9375;7.0313;21.0938;40.7813;78.7500;73.1250;71.7188;56.2500;53.4375;47.8125;49.2188;32.3438;137.8125;29.5313;75.9375;78.7500;98.4375;87.1875;299.5313;298.1250;11.7188;10.5469;8.2031;7.0313;11.7188;12.8906;9.3750;9.3750;4.6875;5.8594;4.6875;3.5156;1.1719;1.1719;2.3438;2.3438;3.5156;2.3438;1.1719;2.3438;0.3906;0.1953;0.3516;0.6641;64.156067;10.002869;82.2656;66.0938;88.5938;10.91309;32.96875;61.1719;6.17676;101.2500;13.9648;95.6250;5.4688;4.6875;13.9844;4.2188;9.7656;146.60156;5.81055;4.64844
17.01.2020 16:00:00;67.5000;1001.26953;7.4609;350.1563;2.8125;25.3125;45.0000;53.4375;63.2813;74.5313;42.1875;16.8750;63.2813;112.5000;194.0625;170.1563;178.5938;182.8125;181.4063;153.2813;220.7813;156.0938;300.9375;14.0625;5.8594;7.0313;7.0313;7.0313;9.3750;7.0313;8.2031;4.6875;1.1719;2.3438;2.3438;3.5156;5.8594;2.3438;3.5156;3.5156;1.1719;2.3438;2.3438;0.3516;0.1172;0.3516;0.5469;64.156067;10.002960;85.0781;76.6406;87.1875;10.91309;32.89551;55.5469;6.10352;103.3594;8.2031;78.0469;4.9805;4.3945;12.8125;4.2188;8.9844;144.84375;5.40039;4.03320
17.01.2020 17:00:00;59.5313;1000.87891;8.0078;25.3125;47.8125;54.8438;25.3125;54.8438;71.7188;81.5625;80.1563;78.7500;101.2500;139.2188;146.2500;171.5625;188.4375;198.2813;189.8438;182.8125;154.6875;97.0313;188.4375;8.2031;5.8594;5.8594;4.6875;4.6875;9.3750;9.3750;7.0313;3.5156;2.3438;4.6875;4.6875;5.8594;4.6875;5.8594;4.6875;3.5156;3.5156;1.1719;2.3438;0.3516;0.1563;0.3125;0.5078;64.156067;10.002777;334.6875;21.0938;324.8438;10.91309;32.96875;61.8750;6.15234;346.6406;13.1836;299.5313;5.1758;4.4922;14.2188;4.0625;9.3750;153.98438;7.17773;5.53711
