Scaling equations	6.5005*x-6.2775	6.3958*x-6.2302	6.4602*x-6.1928	6.5020*x-6.2666	6.4260*x-6.1741	6.4277*x-6.2111	x	x
Timestamp	Analog channel 0	Analog channel 1	Analog channel 2	Analog channel 3	Analog channel 4	Analog channel 5	Analog channel 6	Analog channel 7
2019.10.28 22:32:11.316	-0.083576	-0.082919	-0.083576	-0.083247	-0.083576	-0.083247	-0.083905	-0.082919
2019.10.28 22:32:12.316	-0.083576	-0.083576	-0.083576	-0.083576	-0.083576	-0.083576	-0.083247	-0.083905
2019.10.28 22:32:13.316	-0.082590	-0.082261	-0.083247	-0.082590	-0.083247	-0.082919	-0.082919	-0.082919
2019.10.28 22:32:14.316	-0.083576	-0.084233	-0.084233	-0.083905	-0.084233	-0.084233	-0.083905	-0.083905
2019.10.28 22:32:15.316	-0.083576	-0.083576	-0.083247	-0.083247	-0.082919	-0.082919	-0.083247	-0.082919
2019.10.28 22:32:16.316	-0.083247	-0.082919	-0.083576	-0.082590	-0.083247	-0.083247	-0.082590	-0.082919
2019.10.28 22:32:17.316	-0.082590	-0.082919	-0.083247	-0.082919	-0.082919	-0.083247	-0.083247	-0.083576
2019.10.28 22:32:18.316	-0.083247	-0.082919	-0.082919	-0.082590	-0.083247	-0.082919	-0.083247	-0.083247
2019.10.28 22:32:19.316	-0.083247	-0.082590	-0.082919	-0.083247	-0.082919	-0.082919	-0.083247	-0.082919
2019.10.28 22:32:20.316	-0.082590	-0.082919	-0.082919	-0.082919	-0.082919	-0.083247	-0.082919	-0.083247
2019.10.28 22:32:21.316	-0.082590	-0.082919	-0.082919	-0.083247	-0.082919	-0.082261	-0.082590	-0.082919
2019.10.28 22:32:22.316	-0.082919	-0.082590	-0.082590	-0.082919	-0.082919	-0.082590	-0.082919	-0.083247
2019.10.28 22:32:23.316	-0.082590	-0.083905	-0.082919	-0.082919	-0.083247	-0.083247	-0.083247	-0.083576
2019.10.28 22:32:24.316	-0.083247	-0.082919	-0.082590	-0.082590	-0.083247	-0.082919	-0.082261	-0.083576
2019.10.28 22:32:25.316	-0.082919	-0.083247	-0.082919	-0.082919	-0.083247	-0.083905	-0.082919	-0.083247
2019.10.28 22:32:26.316	-0.082919	-0.082919	-0.082919	-0.082590	-0.082919	-0.082919	-0.082590	-0.081604
2019.10.28 22:32:27.316	-0.082590	-0.082919	-0.082919	-0.083247	-0.083247	-0.083247	-0.082919	-0.082919
2019.10.28 22:32:28.316	-0.082919	-0.082919	-0.082590	-0.082919	-0.082261	-0.082919	-0.082590	-0.082919
2019.10.28 22:32:29.316	-0.082919	-0.082919	-0.082919	-0.082919	-0.082919	-0.082919	-0.083247	-0.082919
2019.10.28 22:32:30.316	-0.082590	-0.082919	-0.082919	-0.082919	-0.082919	-0.082919	-0.082919	-0.083247
2019.10.28 22:32:31.316	-0.083247	-0.082919	-0.082919	-0.083576	-0.083247	-0.082919	-0.082919	-0.082919
2019.10.28 22:32:32.316	-0.082590	-0.083247	-0.083247	-0.083247	-0.083247	-0.083247	-0.082919	-0.083247
2019.10.28 22:32:33.316	-0.083905	-0.082590	-0.083247	-0.082919	-0.083247	-0.082590	-0.083247	-0.083576
2019.10.28 22:32:34.316	-0.083247	-0.082919	-0.082919	-0.082919	-0.083247	-0.083247	-0.082919	-0.083247
2019.10.28 22:32:35.316	-0.083247	-0.083247	-0.083247	-0.083247	-0.083247	-0.083247	-0.083247	-0.083576
2019.10.28 22:32:36.316	-0.082919	-0.082919	-0.082919	-0.083247	-0.082590	-0.082919	-0.082590	-0.082919
2019.10.28 22:32:37.316	-0.082919	-0.082919	-0.083576	-0.083247	-0.083247	-0.083576	-0.082919	-0.083576
2019.10.28 22:32:38.316	-0.083905	-0.083576	-0.083247	-0.083576	-0.083247	-0.083247	-0.083576	-0.082919
2019.10.28 22:32:39.316	-0.083247	-0.082919	-0.083576	-0.083576	-0.082919	-0.082919	-0.083576	-0.083247
2019.10.28 22:32:40.316	-0.083247	-0.083247	-0.082919	-0.083247	-0.082590	-0.083576	-0.083905	-0.084233
2019.10.28 22:32:41.316	-0.083576	-0.082919	-0.083247	-0.083576	-0.083576	-0.083247	-0.083247	-0.082919
2019.10.28 22:32:42.316	-0.083576	-0.083247	-0.083247	-0.083576	-0.083576	-0.083576	-0.083247	-0.082919
2019.10.28 22:32:43.316	-0.083576	-0.083247	-0.083247	-0.083247	-0.082919	-0.083247	-0.082590	-0.083247
2019.10.28 22:32:44.316	-0.083576	-0.083576	-0.083247	-0.083247	-0.083247	-0.082919	-0.083576	-0.083576
2019.10.28 22:32:45.316	-0.083247	-0.083576	-0.083576	-0.082919	-0.083576	-0.083576	-0.083247	-0.083247
2019.10.28 22:32:46.316	-0.083247	-0.082590	-0.083576	-0.083247	-0.083247	-0.083905	-0.083247	-0.082919
2019.10.28 22:32:47.316	-0.083247	-0.082590	-0.082919	-0.082919	-0.083576	-0.082919	-0.083576	-0.083247
2019.10.28 22:32:48.316	-0.083576	-0.082590	-0.083247	-0.082919	-0.083247	-0.083247	-0.083247	-0.082261
2019.10.28 22:32:49.316	-0.083247	-0.082919	-0.082590	-0.082919	-0.083247	-0.083247	-0.083247	-0.083905
2019.10.28 22:32:50.316	-0.083247	-0.083247	-0.083247	-0.083576	-0.082919	-0.082919	-0.083247	-0.082919
2019.10.28 22:32:51.316	-0.083247	-0.083247	-0.082590	-0.083247	-0.083247	-0.083247	-0.083576	-0.083576
2019.10.28 22:32:52.316	-0.082919	-0.082919	-0.082590	-0.083576	-0.082919	-0.083247	-0.083247	-0.082590
2019.10.28 22:32:53.316	-0.083576	-0.083247	-0.082590	-0.083576	-0.083247	-0.083576	-0.082919	-0.083576
2019.10.28 22:32:54.316	-0.083576	-0.083576	-0.083247	-0.083247	-0.082919	-0.083247	-0.082919	-0.083576
2019.10.28 22:32:55.316	-0.083247	-0.083247	-0.082919	-0.083247	-0.083247	-0.082919	-0.083247	-0.082919
2019.10.28 22:32:56.316	-0.082590	-0.083247	-0.083576	-0.082919	-0.082919	-0.083247	-0.083576	-0.083247
2019.10.28 22:32:57.316	-0.083247	-0.083247	-0.083247	-0.083576	-0.083576	-0.083247	-0.082919	-0.082590
2019.10.28 22:32:58.316	-0.083247	-0.082919	-0.082919	-0.083576	-0.083247	-0.082919	-0.083247	-0.082919
2019.10.28 22:32:59.316	-0.083247	-0.083576	-0.083576	-0.083247	-0.082919	-0.083576	-0.083247	-0.083247
2019.10.28 22:33:00.316	-0.082590	-0.082919	-0.082919	-0.082919	-0.083247	-0.083247	-0.082919	-0.083576
2019.10.28 22:33:01.316	-0.083247	-0.083247	-0.083247	-0.083576	-0.083576	-0.083247	-0.082919	-0.082590
2019.10.28 22:33:02.316	-0.083247	-0.082919	-0.082919	-0.083576	-0.083247	-0.083576	-0.083247	-0.083576
2019.10.28 22:33:03.316	-0.083576	-0.082919	-0.082919	-0.083576	-0.082919	-0.083247	-0.083247	-0.083247
2019.10.28 22:33:04.316	-0.083576	-0.083247	-0.082919	-0.083247	-0.082919	-0.082919	-0.082919	-0.083905
2019.10.28 22:33:05.316	-0.082590	-0.083576	-0.083576	-0.083576	-0.083247	-0.083247	-0.082919	-0.083247
2019.10.28 22:33:06.316	-0.083576	-0.083247	-0.083247	-0.083247	-0.082919	-0.083247	-0.082919	-0.082919
2019.10.28 22:33:07.316	-0.083905	-0.083247	-0.082919	-0.083905	-0.083247	-0.083247	-0.083247	-0.083576
2019.10.28 22:33:08.316	-0.082919	-0.083576	-0.083576	-0.083247	-0.083247	-0.083247	-0.082919	-0.083247
2019.10.28 22:33:09.316	-0.083247	-0.083247	-0.082919	-0.082590	-0.083576	-0.082919	-0.083247	-0.083247
2019.10.28 22:33:10.316	-0.083576	-0.083247	-0.083247	-0.083247	-0.082919	-0.082919	-0.083247	-0.082919
2019.10.28 22:33:11.316	-0.083247	-0.083247	-0.083247	-0.083576	-0.082590	-0.083247	-0.083247	-0.082590
2019.10.28 22:33:12.316	-0.082919	-0.083905	-0.083247	-0.083576	-0.083247	-0.083576	-0.083576	-0.083576
2019.10.28 22:33:13.316	-0.082919	-0.082919	-0.083247	-0.082919	-0.083576	-0.082919	-0.083247	-0.083905
2019.10.28 22:33:14.316	-0.083576	-0.083247	-0.083247	-0.083576	-0.083576	-0.083905	-0.082919	-0.083247
2019.10.28 22:33:15.316	-0.082919	-0.083576	-0.082919	-0.083905	-0.083247	-0.083247	-0.083247	-0.083576
2019.10.28 22:33:16.316	-0.082919	-0.083247	-0.083247	-0.083247	-0.083247	-0.083247	-0.083247	-0.083905
2019.10.28 22:33:17.316	-0.083576	-0.082590	-0.083247	-0.082919	-0.083247	-0.083247	-0.083247	-0.083576
2019.10.28 22:33:18.316	-0.083576	-0.083247	-0.082919	-0.082919	-0.083576	-0.083247	-0.083247	-0.083576
2019.10.28 22:33:19.316	-0.083247	-0.083247	-0.083247	-0.083247	-0.083576	-0.083247	-0.083247	-0.083247
