Scaling equations	6.4966*x-6.2646	6.3877*x-6.2031	6.4541*x-6.1727	6.4865*x-6.2161	6.4136*x-6.1333	6.4099*x-6.1522	x	x
Timestamp	Analog channel 0	Analog channel 1	Analog channel 2	Analog channel 3	Analog channel 4	Analog channel 5	Analog channel 6	Analog channel 7
2020.01.20 15:08:52.095	-0.001738	1.209068	1.508811	1.501909	1.133146	1.173572	-0.001738	-0.002067
2020.01.20 15:08:52.345	-0.001409	1.215970	1.409883	1.377345	1.108496	1.200194	-0.001409	-0.001738
2020.01.20 15:08:52.595	-0.002395	1.188033	1.300437	1.254095	1.072343	1.165027	-0.001738	-0.001409
2020.01.20 15:08:52.845	-0.002395	1.144649	1.217942	1.125915	1.019756	1.147279	-0.001738	-0.001409
2020.01.20 15:08:53.095	-0.001409	1.090748	1.166670	1.025015	0.986561	1.089434	-0.001409	-0.001409
2020.01.20 15:08:53.345	-0.001738	1.023700	1.161411	0.995435	0.970456	1.045392	-0.001409	-0.001738
2020.01.20 15:08:53.595	-0.001738	0.997407	1.169299	1.000036	0.968813	1.012854	-0.001738	-0.001409
2020.01.20 15:08:53.845	-0.001738	0.989848	1.150894	1.057882	0.971771	0.998393	-0.001738	-0.002067
2020.01.20 15:08:54.095	-0.001738	0.987547	1.150894	1.136433	0.979002	1.004966	-0.001738	-0.001738
2020.01.20 15:08:54.345	-0.001738	0.989190	1.188691	1.221557	0.986232	1.015484	-0.001738	-0.001738
2020.01.20 15:08:54.595	-0.001738	0.997407	1.234375	1.299780	0.998722	1.027973	-0.001738	-0.001738
2020.01.20 15:08:54.845	1.290906	0.996750	1.272500	1.349080	1.011540	1.045064	-0.001409	-0.002067
2020.01.20 15:08:55.095	-0.002067	1.015812	1.323115	1.341849	1.028959	1.068070	-0.001409	-0.001738
2020.01.20 15:08:55.345	-0.002067	1.044078	1.344150	1.307339	1.043420	1.089105	-0.001738	-0.001738
2020.01.20 15:08:55.595	-0.001081	1.073986	1.338234	1.259354	1.042763	1.088776	-0.002067	-0.000752
2020.01.20 15:08:55.845	-0.001081	1.093378	1.333961	1.225501	1.028302	1.073329	-0.001409	-0.001409
2020.01.20 15:08:56.095	-0.002067	1.100937	1.316213	1.211369	0.998393	1.058210	-0.001738	-0.001738
2020.01.20 15:08:56.345	-0.001738	1.090091	1.310297	1.171929	0.984918	1.049336	-0.001409	-0.001409
2020.01.20 15:08:56.595	-0.001738	1.066427	1.273486	1.139391	0.979002	1.035204	-0.001409	-0.001738
2020.01.20 15:08:56.845	-0.001738	1.044078	1.190334	1.134461	0.977358	1.031588	-0.001738	-0.001738
2020.01.20 15:08:57.095	-0.001738	1.023372	1.106524	1.147607	0.983274	1.018770	-0.001738	-0.001409
2020.01.20 15:08:57.345	-0.001409	1.010882	1.071028	1.141034	0.980645	1.019099	-0.001409	-0.001738
2020.01.20 15:08:57.595	1.486791	1.015484	1.074644	1.138076	0.979988	1.048679	-0.001738	-0.001409
2020.01.20 15:08:57.845	-0.001409	1.016798	1.131503	1.138076	0.980316	1.031917	-0.001409	-0.001409
2020.01.20 15:08:58.095	-0.001738	1.014169	1.195921	1.178502	0.992477	1.031588	-0.001081	-0.001738
2020.01.20 15:08:58.345	-0.002067	1.011868	1.257382	1.207425	1.007596	1.050322	-0.001738	-0.001738
2020.01.20 15:08:58.595	-0.001738	1.010554	1.288934	1.248508	1.025672	1.063469	-0.001738	-0.001738
2020.01.20 15:08:58.845	-0.001409	1.019756	1.319500	1.276773	1.043749	1.077602	-0.001409	-0.002067
2020.01.20 15:08:59.095	-0.001409	1.026987	1.317856	1.247522	1.056238	1.087790	-0.001738	-0.001738
2020.01.20 15:08:59.345	-0.001738	1.023372	1.281046	1.210054	1.049008	1.094692	-0.001409	-0.001409
2020.01.20 15:08:59.595	-0.002067	1.017456	1.210383	1.142020	1.025015	1.069385	-0.001738	-0.001738
2020.01.20 15:08:59.845	-0.001409	1.013512	1.152866	1.071357	0.998064	1.050651	-0.001738	-0.001738
2020.01.20 15:09:00.095	-0.001738	1.010882	1.102252	1.026001	0.977687	1.025015	-0.001409	-0.001409
2020.01.20 15:09:00.345	-0.001738	1.009239	1.056238	1.025672	0.974072	1.023372	-0.001738	-0.001738
2020.01.20 15:09:00.595	-0.001738	1.006610	1.042106	1.041120	0.975058	1.032574	-0.001738	-0.001738
2020.01.20 15:09:00.845	-0.001738	1.019428	1.058210	1.065112	0.976044	1.032246	-0.001738	-0.001738
2020.01.20 15:09:01.095	-0.001409	1.035861	1.112769	1.085818	0.977030	1.033232	-0.002067	-0.002067
2020.01.20 15:09:01.345	-0.001409	1.048022	1.210711	1.147936	0.991820	1.050651	-0.001738	-0.001738
2020.01.20 15:09:01.595	-0.001738	1.054924	1.317856	1.225173	1.016470	1.076944	-0.001409	-0.002067
2020.01.20 15:09:01.845	-0.001409	1.049994	1.454581	1.312269	1.025344	1.082860	-0.001409	-0.001409
2020.01.20 15:09:02.095	-0.001409	1.060182	1.521958	1.371429	1.020742	1.073000	-0.001738	-0.001409
2020.01.20 15:09:02.345	-0.001738	1.079245	1.494679	1.357954	1.014169	1.066427	-0.002067	-0.001738
2020.01.20 15:09:02.595	-0.002067	1.081546	1.412183	1.294192	1.007596	1.059854	-0.001738	-0.001738
2020.01.20 15:09:02.845	-0.001738	1.073329	1.285318	1.200194	0.993134	1.045392	-0.001409	-0.001738
2020.01.20 15:09:03.095	-0.001081	1.027973	1.171929	1.132817	0.977358	1.029288	-0.001738	-0.001409
2020.01.20 15:09:03.345	-0.001738	1.001680	1.094692	1.096993	0.971442	1.012854	-0.001738	-0.001409
2020.01.20 15:09:03.595	-0.001738	0.995106	1.056238	1.113426	0.969470	1.008910	-0.001409	-0.001409
2020.01.20 15:09:03.845	-0.001081	1.001680	1.045064	1.137419	0.971771	1.015484	-0.001409	-0.001738
2020.01.20 15:09:04.095	-0.002067	1.001680	1.054924	1.134789	0.973086	1.011211	-0.001738	-0.001738
2020.01.20 15:09:04.345	-0.002067	1.006938	1.086476	1.112769	0.982617	1.024686	-0.001409	-0.001738
2020.01.20 15:09:04.595	-0.001738	1.031260	1.107839	1.107182	1.000036	1.052952	-0.002067	-0.001409
2020.01.20 15:09:04.845	-0.001081	1.048350	1.132160	1.126901	1.019756	1.065112	-0.001409	-0.001409
2020.01.20 15:09:05.095	-0.001409	1.059525	1.199208	1.140377	1.050322	1.093706	-0.001738	-0.001738
2020.01.20 15:09:05.345	-0.001738	1.048679	1.291563	1.140377	1.058210	1.108168	-0.001409	-0.001738
2020.01.20 15:09:05.595	-0.001738	1.034546	1.352695	1.171929	1.035532	1.098636	-0.001409	-0.001409
2020.01.20 15:09:05.845	-0.001081	1.021071	1.374716	1.186390	1.016470	1.076944	-0.002067	-0.001738
2020.01.20 15:09:06.095	-0.001081	1.019428	1.324101	1.186390	0.999708	1.064126	-0.001409	-0.001409
2020.01.20 15:09:06.345	-0.001738	1.024029	1.233718	1.175873	0.983932	1.040462	-0.001409	-0.001738
2020.01.20 15:09:06.595	-0.001738	1.018442	1.142349	1.181131	0.979988	1.022057	-0.001409	-0.001409
2020.01.20 15:09:06.845	-0.001738	1.019428	1.099294	1.162069	0.983274	1.026658	-0.001738	-0.001738
2020.01.20 15:09:07.095	-0.001738	1.019428	1.105538	1.106853	0.984589	1.039805	-0.001409	-0.001409
2020.01.20 15:09:07.345	-0.002067	1.016470	1.129859	1.074315	0.981302	1.026001	-0.001738	-0.001409
2020.01.20 15:09:07.595	-0.001409	1.017784	1.144321	1.072672	0.979002	1.021400	-0.001738	-0.001738
2020.01.20 15:09:07.845	-0.001738	1.013840	1.148265	1.085818	0.977358	1.018442	-0.001738	-0.001738
2020.01.20 15:09:08.095	-0.001081	1.007596	1.151223	1.126244	0.975715	1.011868	-0.001409	-0.001738
2020.01.20 15:09:08.345	-0.001081	1.008253	1.148922	1.176530	0.973414	1.014498	-0.001738	-0.001738
2020.01.20 15:09:08.595	-0.002067	1.003323	1.139062	1.194935	0.980645	1.028959	-0.001409	-0.001409
2020.01.20 15:09:08.845	-0.001738	1.004309	1.118027	1.173901	0.981631	1.037504	-0.001738	-0.001409
2020.01.20 15:09:09.095	-0.001081	1.017127	1.099294	1.127230	0.985575	1.036190	-0.001409	-0.001409
2020.01.20 15:09:09.345	1.351380	1.049994	1.101266	1.053938	0.982946	1.028302	-0.001738	-0.001738
2020.01.20 15:09:09.595	1.375702	1.100608	1.125258	1.008910	0.982946	1.025015	-0.001409	-0.001738
2020.01.20 15:09:09.845	-0.002067	1.129531	1.162726	1.008910	0.982288	1.021400	-0.001081	-0.001738
2020.01.20 15:09:10.095	-0.002067	1.116055	1.196579	1.088119	0.985246	1.015155	-0.001738	-0.001738
2020.01.20 15:09:10.345	-0.001409	1.079245	1.252452	1.235033	0.996092	1.030931	-0.001409	-0.001409
2020.01.20 15:09:10.595	-0.001409	1.019756	1.332646	1.381946	1.021728	1.052952	-0.001738	-0.001409
2020.01.20 15:09:10.845	-0.001738	1.001022	1.399366	1.433875	1.053280	1.087790	-0.002067	-0.001409
2020.01.20 15:09:11.095	-0.001738	1.003980	1.414813	1.417771	1.069385	1.112440	-0.001409	-0.001409
2020.01.20 15:09:11.345	-0.001738	1.007596	1.416127	1.363870	1.067084	1.114083	-0.001738	-0.001409
2020.01.20 15:09:11.595	-0.002067	1.015155	1.390820	1.312926	1.049994	1.110140	-0.001738	-0.001738
2020.01.20 15:09:11.845	-0.002067	1.025015	1.338891	1.313255	1.018442	1.080888	-0.001409	-0.001738
2020.01.20 15:09:12.095	-0.002067	1.030274	1.284661	1.321800	0.998064	1.068399	-0.001409	-0.002067
2020.01.20 15:09:12.345	-0.001409	1.019428	1.238648	1.294192	0.979988	1.037504	-0.001409	-0.002067
2020.01.20 15:09:12.595	-0.002067	1.015812	1.187705	1.238977	0.975058	1.030602	-0.001409	-0.001409
2020.01.20 15:09:12.845	-0.001738	1.008910	1.144649	1.164369	0.974072	1.021071	-0.001409	-0.001081
2020.01.20 15:09:13.095	1.325416	1.010882	1.107510	1.072343	0.977030	1.022057	-0.001738	-0.001409
2020.01.20 15:09:13.345	1.294192	1.014169	1.045064	1.018113	0.972100	1.010225	-0.001409	-0.001409
2020.01.20 15:09:13.595	-0.002067	1.014498	1.009239	0.993463	0.974400	1.016141	-0.001738	-0.001738
2020.01.20 15:09:13.845	-0.001738	1.016141	0.995764	0.988533	0.976044	1.018113	-0.001409	-0.001738
2020.01.20 15:09:14.095	-0.001738	1.003980	0.995764	0.982946	0.976701	1.020085	-0.001738	-0.001738
2020.01.20 15:09:14.345	-0.001738	0.994449	1.009896	0.988862	0.976044	1.017784	-0.001409	-0.001738
2020.01.20 15:09:14.595	-0.002067	0.991820	1.049008	1.016470	0.985575	1.025672	-0.001409	-0.001409
2020.01.20 15:09:14.845	-0.001409	0.991162	1.160425	1.089434	1.002994	1.043092	-0.001409	-0.001409
2020.01.20 15:09:15.095	-0.001738	0.998722	1.292878	1.185404	1.016798	1.054924	-0.001081	-0.001409
2020.01.20 15:09:15.345	-0.001738	1.005952	1.425330	1.271186	1.015812	1.051966	-0.001738	-0.001409
2020.01.20 15:09:15.595	-0.001409	1.021071	1.529189	1.362555	1.010225	1.044735	-0.001738	-0.001409
2020.01.20 15:09:15.845	-0.001409	1.067084	1.542335	1.440120	0.991820	1.029945	-0.001738	-0.002067
2020.01.20 15:09:16.095	-0.001409	1.120985	1.484819	1.430260	0.988204	1.028959	-0.001409	-0.001738
2020.01.20 15:09:16.345	-0.001738	1.130517	1.431246	1.352695	0.993134	1.045064	-0.001738	-0.001738
2020.01.20 15:09:16.595	-0.001409	1.114083	1.400023	1.276116	0.994778	1.058210	-0.002067	-0.001738
2020.01.20 15:09:16.845	-0.001409	1.085161	1.379974	1.242263	1.005295	1.060182	-0.001738	-0.001738
2020.01.20 15:09:17.095	-0.001409	1.038162	1.368800	1.205781	1.014169	1.055252	-0.001081	-0.001409
2020.01.20 15:09:17.345	-0.002067	1.012854	1.352038	1.190334	0.984589	1.028959	-0.002067	-0.002067
2020.01.20 15:09:17.595	-0.001738	1.010554	1.311283	1.201180	0.978344	1.022386	-0.001409	-0.001409
2020.01.20 15:09:17.845	-0.002067	1.018442	1.229117	1.205453	0.981960	1.019099	-0.001409	-0.001409
2020.01.20 15:09:18.095	-0.001738	1.019099	1.156153	1.216627	0.983932	1.028959	-0.001409	-0.001738
2020.01.20 15:09:18.345	1.375044	1.027973	1.105538	1.229774	0.992477	1.029945	-0.001409	-0.002067
2020.01.20 15:09:18.595	1.416127	1.039148	1.087133	1.230431	1.004966	1.044735	-0.002067	-0.001081
2020.01.20 15:09:18.845	1.443735	1.048350	1.093049	1.211369	1.048679	1.083846	-0.001738	-0.001738
2020.01.20 15:09:19.095	-0.002067	1.056896	1.123286	1.163712	1.082860	1.116713	-0.001738	-0.002067
2020.01.20 15:09:19.345	-0.001738	1.056238	1.157796	1.093706	1.088776	1.129859	-0.002067	-0.001738
2020.01.20 15:09:19.595	-0.001409	1.031260	1.197893	1.040791	1.057553	1.108168	-0.001409	-0.001738
2020.01.20 15:09:19.845	-0.002067	0.997078	1.220243	1.034546	0.998393	1.051637	-0.001409	-0.001738
2020.01.20 15:09:20.095	-0.002067	0.988533	1.225830	1.044735	0.977358	1.028630	-0.002067	-0.002067
2020.01.20 15:09:20.345	-0.001409	0.988533	1.201180	1.077273	0.970456	1.023372	-0.001409	-0.001738
2020.01.20 15:09:20.595	-0.001738	0.987547	1.182775	1.117370	0.968484	1.006938	-0.001409	-0.001409
2020.01.20 15:09:20.845	-0.002067	0.986232	1.184747	1.152209	0.970785	1.001022	-0.001738	-0.001738
2020.01.20 15:09:21.095	-0.001738	0.993792	1.179488	1.146621	0.981302	1.020742	-0.001409	-0.001409
2020.01.20 15:09:21.345	-0.001738	1.000365	1.156810	1.124929	0.987218	1.035204	-0.001409	-0.001409
2020.01.20 15:09:21.595	-0.001738	1.020742	1.120985	1.132489	1.006610	1.068070	-0.001409	-0.002067
2020.01.20 15:09:21.845	1.386219	1.046050	1.111454	1.146621	1.035204	1.095021	-0.001738	-0.001738
2020.01.20 15:09:22.095	-0.001409	1.083846	1.120657	1.176201	1.063140	1.114741	-0.002067	-0.002067
2020.01.20 15:09:22.345	-0.002067	1.123286	1.126573	1.193949	1.041777	1.104224	-0.001409	-0.001738
2020.01.20 15:09:22.595	-0.002067	1.137419	1.143006	1.164369	1.004966	1.072343	-0.001409	-0.002067
2020.01.20 15:09:22.845	-0.001738	1.119999	1.148593	1.138733	0.980645	1.040462	-0.002067	-0.001738
2020.01.20 15:09:23.095	-0.001738	1.076944	1.173243	1.156810	0.975715	1.018113	-0.001409	-0.002067
2020.01.20 15:09:23.345	-0.001081	1.017784	1.237005	1.205781	0.976701	1.017127	-0.001409	-0.001409
2020.01.20 15:09:23.595	-0.001738	0.999050	1.305696	1.283675	0.979002	1.020085	-0.001738	-0.001409
2020.01.20 15:09:23.845	-0.002067	0.996421	1.353024	1.333632	0.984589	1.039476	-0.001409	-0.002067
2020.01.20 15:09:24.095	-0.001409	0.997407	1.362226	1.345464	0.997736	1.050322	-0.001081	-0.001409
2020.01.20 15:09:24.345	-0.001738	1.000036	1.341849	1.334947	1.018770	1.072343	-0.001738	-0.001738
2020.01.20 15:09:24.595	-0.001409	1.008910	1.285647	1.283675	1.047036	1.104224	-0.002067	-0.001738
2020.01.20 15:09:24.845	-0.001409	1.018113	1.239634	1.201837	1.054924	1.113755	-0.001738	-0.001409
2020.01.20 15:09:25.095	-0.001738	1.027316	1.219585	1.129202	1.031260	1.097979	-0.001409	-0.001738
