Scaling equations	6.4966*x-6.2646	6.3877*x-6.2031	6.4541*x-6.1727	6.4865*x-6.2161	6.4136*x-6.1333	6.4099*x-6.1522	x	x
Timestamp	Analog channel 0	Analog channel 1	Analog channel 2	Analog channel 3	Analog channel 4	Analog channel 5	Analog channel 6	Analog channel 7
2020.01.23 03:08:49.345	-0.002395	1.031588	0.963883	1.025015	0.977030	1.219585	-0.001738	-0.001738
2020.01.23 03:08:49.595	-0.001738	0.993792	0.960596	1.034875	0.971442	1.226487	-0.002067	-0.002067
2020.01.23 03:08:49.845	-0.001738	0.985904	0.955995	1.096336	0.975715	1.195921	-0.002067	-0.002724
2020.01.23 03:08:50.095	-0.001738	0.981631	0.966512	1.173901	0.976701	1.148922	-0.002395	-0.002067
2020.01.23 03:08:50.345	-0.001738	0.980645	0.970128	1.209397	0.974729	1.119671	-0.001409	-0.002067
2020.01.23 03:08:50.595	-0.001738	0.985246	0.971771	1.217942	0.976372	1.109811	-0.001738	-0.002067
2020.01.23 03:08:50.845	-0.002067	0.985575	0.974729	1.222215	0.976701	1.103238	-0.002395	-0.002067
2020.01.23 03:08:51.095	-0.002395	1.002994	0.970785	1.228788	0.980645	1.128873	-0.002067	-0.002395
2020.01.23 03:08:51.345	-0.002067	1.012854	0.966184	1.229774	0.978344	1.150237	-0.002067	-0.002395
2020.01.23 03:08:51.595	-0.002067	1.022057	0.964540	1.238648	0.979330	1.173572	-0.002067	-0.002067
2020.01.23 03:08:51.845	-0.001738	1.005952	0.962568	1.248508	0.978016	1.197236	-0.002395	-0.001738
2020.01.23 03:08:52.095	-0.002067	0.991491	0.970785	1.221886	0.975058	1.203152	-0.001738	-0.002395
2020.01.23 03:08:52.345	-0.002067	0.989519	0.966841	1.181131	0.979002	1.213012	-0.001738	-0.001738
2020.01.23 03:08:52.595	-0.002067	0.994120	0.963226	1.132489	0.977030	1.223201	-0.002395	-0.002395
2020.01.23 03:08:52.845	-0.002067	0.991491	0.966512	1.069385	0.974072	1.203481	-0.001738	-0.001738
2020.01.23 03:08:53.095	-0.002067	0.993792	0.967170	1.036518	0.970128	1.184418	-0.001738	-0.002395
2020.01.23 03:08:53.345	-0.001738	0.990176	0.962897	1.039148	0.972100	1.163712	-0.001738	-0.002067
2020.01.23 03:08:53.595	-0.002395	0.990834	0.967170	1.067742	0.973414	1.152537	-0.001738	-0.001738
2020.01.23 03:08:53.845	-0.002395	0.988862	0.961254	1.112111	0.976701	1.149579	-0.002067	-0.002067
2020.01.23 03:08:54.095	-0.002067	0.991820	0.963226	1.147936	0.977358	1.150565	-0.002067	-0.002067
2020.01.23 03:08:54.345	-0.001738	0.989848	0.961582	1.199865	0.983932	1.161740	-0.001738	-0.002067
2020.01.23 03:08:54.595	-0.002724	0.987876	0.963226	1.241935	0.998722	1.154181	-0.001409	-0.001738
2020.01.23 03:08:54.845	-0.002395	0.987218	0.962897	1.240620	1.010225	1.191320	-0.002395	-0.001409
2020.01.23 03:08:55.095	-0.002067	0.988533	0.965855	1.206110	0.999708	1.186061	-0.002395	-0.002067
2020.01.23 03:08:55.345	-0.002067	0.987547	0.960268	1.170943	0.977030	1.180145	-0.002067	-0.002395
2020.01.23 03:08:55.595	-0.002724	0.985246	0.962240	1.148265	0.973086	1.164369	-0.002067	-0.002067
2020.01.23 03:08:55.845	-0.002067	0.984260	0.964869	1.151223	0.969470	1.170285	-0.001738	-0.001738
2020.01.23 03:08:56.095	-0.002067	0.987876	0.967827	1.153523	0.970456	1.159111	-0.002067	-0.002067
2020.01.23 03:08:56.345	-0.002395	0.990176	0.969470	1.175873	0.970785	1.153195	-0.002067	-0.002395
2020.01.23 03:08:56.595	-0.002395	0.995106	0.969799	1.225830	0.973743	1.147607	-0.002067	-0.002067
2020.01.23 03:08:56.845	-0.002724	1.006610	0.971442	1.285647	0.976044	1.152866	-0.002067	-0.002067
2020.01.23 03:08:57.095	-0.002067	1.024358	0.967827	1.279074	0.979330	1.166341	-0.002067	-0.002067
2020.01.23 03:08:57.345	-0.002067	1.041777	0.966184	1.222215	0.977358	1.191320	-0.002067	-0.002395
2020.01.23 03:08:57.595	-0.002067	1.047693	0.960925	1.137747	0.976044	1.195264	-0.002067	-0.002395
2020.01.23 03:08:57.845	-0.002395	1.031260	0.961254	1.067413	0.976372	1.190991	-0.002724	-0.002067
2020.01.23 03:08:58.095	-0.001738	1.004966	0.963226	1.007596	0.972100	1.204795	-0.001738	-0.002067
2020.01.23 03:08:58.345	-0.002067	0.989519	0.965855	0.985246	0.968484	1.189677	-0.002395	-0.002395
2020.01.23 03:08:58.595	-0.002067	0.982946	0.967170	0.997407	0.969799	1.168971	-0.001738	-0.002067
2020.01.23 03:08:58.845	-0.002724	0.979002	0.972100	1.038162	0.974729	1.147279	-0.002067	-0.001738
2020.01.23 03:08:59.095	-0.002067	0.982288	0.964212	1.154509	0.977687	1.111783	-0.002067	-0.002395
2020.01.23 03:08:59.345	-0.002067	0.985904	0.967827	1.263626	0.984589	1.121314	-0.002395	-0.001738
2020.01.23 03:08:59.595	-0.002067	0.990505	0.969142	1.292220	0.989190	1.148593	-0.002067	-0.002395
2020.01.23 03:08:59.845	-0.002067	0.998393	0.969142	1.289591	0.987876	1.203152	-0.002395	-0.002067
2020.01.23 03:09:00.095	-0.002067	1.020414	0.971114	1.271843	0.983603	1.207753	-0.002067	-0.002067
2020.01.23 03:09:00.345	-0.002395	1.038819	0.966841	1.238648	0.975715	1.213669	-0.002395	-0.002067
2020.01.23 03:09:00.595	-0.002067	1.031260	0.965526	1.190991	0.972428	1.221886	-0.002067	-0.002067
2020.01.23 03:09:00.845	-0.001738	1.013512	0.966184	1.135447	0.973414	1.197565	-0.002067	-0.001738
2020.01.23 03:09:01.095	-0.001409	0.992477	0.965855	1.108496	0.974729	1.167327	-0.002067	-0.002067
2020.01.23 03:09:01.345	-0.002067	0.981631	0.959610	1.107510	0.970785	1.140705	-0.002395	-0.001738
2020.01.23 03:09:01.595	-0.001738	0.984260	0.961911	1.118685	0.973086	1.124929	-0.002724	-0.002395
2020.01.23 03:09:01.845	-0.001738	0.985575	0.961582	1.152209	0.976372	1.124272	-0.002395	-0.002067
2020.01.23 03:09:02.095	-0.002395	0.982288	0.967170	1.185404	0.977358	1.125258	-0.002395	-0.002395
2020.01.23 03:09:02.345	-0.001738	0.989519	0.966841	1.184089	0.979659	1.149579	-0.002395	-0.002395
2020.01.23 03:09:02.595	-0.002067	0.994449	0.971442	1.174887	0.981631	1.166670	-0.002395	-0.002067
2020.01.23 03:09:02.845	-0.002724	1.015484	0.967498	1.164369	0.985904	1.178831	-0.002395	-0.002395
2020.01.23 03:09:03.095	-0.002395	1.044078	0.964869	1.157796	0.981631	1.187376	-0.002395	-0.002395
2020.01.23 03:09:03.345	-0.002395	1.049665	0.964869	1.158453	0.976372	1.188362	-0.002067	-0.002395
2020.01.23 03:09:03.595	-0.002067	1.017784	0.960925	1.151880	0.974400	1.189677	-0.002395	-0.002067
2020.01.23 03:09:03.845	-0.001738	0.985904	0.961911	1.126901	0.973414	1.184089	-0.002067	-0.002067
2020.01.23 03:09:04.095	-0.002067	0.979330	0.964540	1.110797	0.972428	1.168971	-0.002067	-0.002395
2020.01.23 03:09:04.345	-0.002395	0.985246	0.964212	1.122629	0.973086	1.159768	-0.002067	-0.002067
2020.01.23 03:09:04.595	-0.001738	0.981302	0.968813	1.142677	0.972757	1.149579	-0.001738	-0.002067
2020.01.23 03:09:04.845	-0.001409	0.984260	0.967498	1.161083	0.972757	1.131174	-0.001738	-0.002395
2020.01.23 03:09:05.095	-0.001738	0.985575	0.970128	1.188362	0.975386	1.139062	-0.001738	-0.002067
2020.01.23 03:09:05.345	-0.001738	0.987218	0.970456	1.208739	0.976372	1.164698	-0.001738	-0.002067
2020.01.23 03:09:05.595	-0.001738	0.990505	0.964212	1.234047	0.979002	1.174558	-0.002067	-0.001409
2020.01.23 03:09:05.845	-0.002067	1.004638	0.967170	1.248179	0.978344	1.179488	-0.001738	-0.001738
2020.01.23 03:09:06.095	-0.002067	1.016798	0.966512	1.223858	0.985246	1.175544	-0.001738	-0.002067
2020.01.23 03:09:06.345	-0.002395	1.025015	0.970456	1.174887	0.980645	1.190991	-0.002724	-0.002395
2020.01.23 03:09:06.595	-0.002395	1.025015	0.968484	1.114083	0.978016	1.195921	-0.002395	-0.002067
2020.01.23 03:09:06.845	-0.002067	1.018770	0.964869	1.090748	0.973414	1.196907	-0.002395	-0.002395
2020.01.23 03:09:07.095	-0.002395	1.009239	0.963226	1.097979	0.970456	1.183761	-0.002067	-0.002067
2020.01.23 03:09:07.345	-0.002067	0.993134	0.965198	1.124272	0.973414	1.169957	-0.002067	-0.001738
2020.01.23 03:09:07.595	-0.002395	0.985904	0.965526	1.131503	0.977030	1.164698	-0.001738	-0.002067
2020.01.23 03:09:07.845	-0.002395	0.985575	0.964869	1.115398	0.982288	1.187047	-0.002395	-0.002395
2020.01.23 03:09:08.095	-0.002724	0.987876	0.968813	1.088119	0.982946	1.193292	-0.001738	-0.002067
2020.01.23 03:09:08.345	-0.002724	0.983932	0.964869	1.103238	0.981631	1.187705	-0.001738	-0.001738
2020.01.23 03:09:08.595	-0.002067	0.982946	0.962897	1.139062	0.975058	1.182117	-0.002067	-0.001409
2020.01.23 03:09:08.845	-0.002395	0.986890	0.966184	1.187047	0.970456	1.173243	-0.001738	-0.002395
2020.01.23 03:09:09.095	-0.002067	0.990505	0.968156	1.230760	0.971114	1.153523	-0.002067	-0.002724
2020.01.23 03:09:09.345	-0.002724	0.994449	0.967170	1.275130	0.970456	1.143663	-0.002395	-0.002067
2020.01.23 03:09:09.595	-0.002067	1.005624	0.966512	1.284004	0.974729	1.139719	-0.002395	-0.002724
2020.01.23 03:09:09.845	-0.002067	1.015155	0.970785	1.240620	0.976372	1.134132	-0.001738	-0.002395
2020.01.23 03:09:10.095	-0.002067	1.025015	0.966841	1.142020	0.982946	1.160097	-0.002395	-0.002067
2020.01.23 03:09:10.345	-0.002067	1.020085	0.961911	1.037176	0.976701	1.171929	-0.002067	-0.002067
2020.01.23 03:09:10.595	-0.002067	0.993134	0.957310	0.997078	0.974729	1.197236	-0.001738	-0.002067
2020.01.23 03:09:10.845	-0.002724	0.989519	0.960596	0.995764	0.972100	1.171271	-0.002724	-0.001738
2020.01.23 03:09:11.095	-0.002395	0.984260	0.960925	1.021071	0.970785	1.144978	-0.002395	-0.002067
2020.01.23 03:09:11.345	-0.002067	0.985575	0.965198	1.077273	0.970785	1.130517	-0.002067	-0.002067
2020.01.23 03:09:11.595	-0.002067	0.987218	0.968813	1.179817	0.975715	1.129859	-0.002067	-0.002395
2020.01.23 03:09:11.845	-0.002067	0.982946	0.970785	1.269871	0.983274	1.122957	-0.002067	-0.002067
2020.01.23 03:09:12.095	-0.002395	0.992148	0.969799	1.296822	0.991491	1.162397	-0.001738	-0.002067
2020.01.23 03:09:12.345	-0.002067	0.996421	0.972100	1.256396	0.994449	1.208739	-0.002067	-0.002067
2020.01.23 03:09:12.595	-0.001738	0.995106	0.969142	1.198551	0.980645	1.242263	-0.002067	-0.002395
2020.01.23 03:09:12.845	-0.002395	0.995764	0.964869	1.135775	0.973743	1.232075	-0.001738	-0.002724
2020.01.23 03:09:13.095	-0.001738	0.993463	0.963883	1.097322	0.971442	1.222215	-0.002395	-0.002724
2020.01.23 03:09:13.345	-0.001738	0.996092	0.965198	1.080888	0.969799	1.199865	-0.002067	-0.002067
2020.01.23 03:09:13.595	-0.002067	0.989190	0.961254	1.093378	0.970456	1.176530	-0.002067	-0.002395
2020.01.23 03:09:13.845	-0.001738	0.986561	0.965855	1.130845	0.973743	1.161411	-0.002067	-0.002067
2020.01.23 03:09:14.095	-0.002395	0.989190	0.964212	1.210054	0.980645	1.134132	-0.002067	-0.001738
2020.01.23 03:09:14.345	-0.002395	0.991162	0.969470	1.257711	0.986561	1.115727	-0.002067	-0.001738
2020.01.23 03:09:14.595	-0.002067	0.997736	0.974072	1.282032	0.987218	1.133146	-0.002067	-0.002067
2020.01.23 03:09:14.845	-0.002067	1.004309	0.976372	1.282032	0.989519	1.149579	-0.001738	-0.002067
2020.01.23 03:09:15.095	-0.002067	1.009896	0.980316	1.236347	0.989190	1.184089	-0.002724	-0.002067
2020.01.23 03:09:15.345	-0.002395	1.019428	0.974400	1.144321	0.983274	1.197565	-0.001738	-0.002724
2020.01.23 03:09:15.595	-0.002067	1.020085	0.972757	1.040791	0.974400	1.220900	-0.002395	-0.002067
2020.01.23 03:09:15.845	-0.003053	1.015155	0.968156	1.005295	0.972428	1.222215	-0.002067	-0.002724
2020.01.23 03:09:16.095	-0.002724	0.998064	0.965526	1.011540	0.968484	1.201837	-0.002067	-0.002067
2020.01.23 03:09:16.345	-0.002067	0.987876	0.961254	1.044735	0.970785	1.191649	-0.002395	-0.002067
2020.01.23 03:09:16.595	-0.002067	0.982288	0.964869	1.084504	0.968813	1.173243	-0.002067	-0.002067
2020.01.23 03:09:16.845	-0.002067	0.984589	0.963883	1.114741	0.971771	1.159768	-0.001409	-0.002067
