Scaling equations	6.4966*x-6.2646	6.3877*x-6.2031	6.4541*x-6.1727	6.4865*x-6.2161	6.4136*x-6.1333	6.4099*x-6.1522	x	x
Timestamp	Analog channel 0	Analog channel 1	Analog channel 2	Analog channel 3	Analog channel 4	Analog channel 5	Analog channel 6	Analog channel 7
2019.11.30 21:49:33.887	0.989848	0.983932	1.088448	0.967170	0.963883	0.973743	-0.002395	-0.002724
2019.11.30 21:49:34.137	0.999050	0.984260	1.036518	0.967170	0.965855	0.972757	-0.002724	-0.002724
2019.11.30 21:49:34.387	1.020085	0.986890	0.997407	0.963554	0.966184	0.972100	-0.002724	-0.002395
2019.11.30 21:49:34.637	1.030602	0.990834	0.979659	0.968484	0.965198	0.971114	-0.002395	-0.002395
2019.11.30 21:49:34.887	1.026001	0.996421	0.972428	0.962240	0.965855	0.971442	-0.002395	-0.002724
2019.11.30 21:49:35.137	1.019099	0.990505	0.972757	0.965526	0.966184	0.972757	-0.002724	-0.002724
2019.11.30 21:49:35.387	1.014826	0.989848	0.972757	0.965855	0.964540	0.972428	-0.002724	-0.002395
2019.11.30 21:49:35.637	1.017456	0.987547	0.974729	0.964869	0.965198	0.970785	-0.002724	-0.002724
2019.11.30 21:49:35.887	1.018113	0.989190	0.981631	0.964540	0.964212	0.969799	-0.002395	-0.002395
2019.11.30 21:49:36.137	1.018770	0.988862	0.998393	0.963226	0.964540	0.971442	-0.002724	-0.002067
2019.11.30 21:49:36.387	1.024029	0.987876	1.011540	0.967827	0.965526	0.970785	-0.002724	-0.002395
2019.11.30 21:49:36.637	1.018770	0.989190	1.026001	0.963883	0.965855	0.971442	-0.002395	-0.002067
2019.11.30 21:49:36.887	1.010225	0.988204	1.024358	0.965526	0.966841	0.970128	-0.002395	-0.003053
2019.11.30 21:49:37.137	1.002994	0.989848	1.010882	0.965526	0.965855	0.970456	-0.002724	-0.002724
2019.11.30 21:49:37.387	0.999050	0.989190	1.004638	0.963883	0.968156	0.971114	-0.002724	-0.002395
2019.11.30 21:49:37.637	0.993463	0.990834	1.015484	0.963554	0.966184	0.970785	-0.002724	-0.002724
2019.11.30 21:49:37.887	0.996421	0.991820	1.037833	0.964540	0.964212	0.972428	-0.002067	-0.002395
2019.11.30 21:49:38.137	0.989519	0.985904	1.041448	0.965526	0.964540	0.973086	-0.002395	-0.002067
2019.11.30 21:49:38.387	0.993792	0.985246	1.026658	0.966841	0.966184	0.974072	-0.003053	-0.002724
2019.11.30 21:49:38.637	1.004309	0.980316	1.010225	0.971442	0.966184	0.977030	-0.002724	-0.002395
2019.11.30 21:49:38.887	1.013512	0.985246	0.990505	0.969142	0.967827	0.980316	-0.002724	-0.002724
2019.11.30 21:49:39.137	1.026001	0.986561	0.976372	0.966184	0.967498	0.980974	-0.002724	-0.002724
2019.11.30 21:49:39.387	1.047036	0.993134	0.980316	0.966841	0.968484	0.978673	-0.002395	-0.003053
2019.11.30 21:49:39.637	1.068070	1.002666	0.987547	0.969142	0.966841	0.975386	-0.002724	-0.002395
2019.11.30 21:49:39.887	1.077930	1.012854	0.996421	0.964212	0.963226	0.975058	-0.002395	-0.002395
2019.11.30 21:49:40.137	1.067413	1.027644	1.030931	0.963226	0.963226	0.971771	-0.003053	-0.003053
2019.11.30 21:49:40.387	1.043092	1.023043	1.071686	0.961911	0.965526	0.970128	-0.002395	-0.002724
2019.11.30 21:49:40.637	1.026330	1.007267	1.112111	0.963883	0.964540	0.970785	-0.002395	-0.003053
2019.11.30 21:49:40.887	1.020414	0.987547	1.127559	0.966184	0.966184	0.969799	-0.002724	-0.002724
2019.11.30 21:49:41.137	1.012854	0.985904	1.118356	0.965855	0.965526	0.971771	-0.002724	-0.002395
2019.11.30 21:49:41.387	1.012854	0.984918	1.064455	0.963883	0.966184	0.970785	-0.002395	-0.002395
2019.11.30 21:49:41.637	1.006938	0.984589	1.028959	0.965198	0.967170	0.969470	-0.002395	-0.002724
2019.11.30 21:49:41.887	1.004966	0.982617	1.009568	0.966512	0.966512	0.970456	-0.002724	-0.002395
2019.11.30 21:49:42.137	1.015155	0.986890	1.002337	0.962568	0.967170	0.973414	-0.002395	-0.002724
2019.11.30 21:49:42.387	1.021728	0.984589	0.996092	0.958953	0.968156	0.974072	-0.002395	-0.002724
2019.11.30 21:49:42.637	1.017127	0.987876	0.990834	0.964869	0.966512	0.975386	-0.002724	-0.002395
2019.11.30 21:49:42.887	1.003652	0.986561	0.981631	0.965526	0.964869	0.973743	-0.002724	-0.002724
2019.11.30 21:49:43.137	0.982288	0.985904	0.965855	0.964540	0.964540	0.972428	-0.002395	-0.002724
2019.11.30 21:49:43.387	0.979659	0.981960	0.966841	0.963883	0.963883	0.974072	-0.002724	-0.002724
2019.11.30 21:49:43.637	0.982288	0.989190	0.968156	0.965855	0.964540	0.976372	-0.002395	-0.002724
2019.11.30 21:49:43.887	0.984918	0.985904	0.968156	0.962240	0.964869	0.975058	-0.002395	-0.002724
2019.11.30 21:49:44.137	0.993134	0.985246	0.974072	0.961911	0.965526	0.974072	-0.002395	-0.003053
2019.11.30 21:49:44.387	1.024686	0.988533	0.984260	0.966841	0.965855	0.972428	-0.002724	-0.002724
2019.11.30 21:49:44.637	1.059196	0.988533	1.000365	0.966841	0.966184	0.973414	-0.002395	-0.002724
2019.11.30 21:49:44.887	1.056238	0.992148	1.042434	0.963554	0.966841	0.972100	-0.002395	-0.002724
2019.11.30 21:49:45.137	1.020085	0.993134	1.081546	0.963883	0.967498	0.972428	-0.002395	-0.002724
2019.11.30 21:49:45.387	0.999050	0.996421	1.086147	0.962568	0.967170	0.973743	-0.002395	-0.002395
2019.11.30 21:49:45.637	0.998722	0.994778	1.057224	0.969470	0.966841	0.973743	-0.002724	-0.002395
2019.11.30 21:49:45.887	1.003980	0.998064	1.034218	0.962240	0.965526	0.972428	-0.002395	-0.002395
2019.11.30 21:49:46.137	1.024029	0.999379	1.018113	0.965526	0.965526	0.972100	-0.002395	-0.002724
